time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.615250,-1.6258,-1.3043,-2.7529,3.453
3.624190,-1.0489,-1.8306,-3.0840,3.737
3.632066,-0.4713,-2.2241,-3.0304,3.788
3.640830,0.0839,-2.5045,-2.4360,3.495
3.648659,0.4163,-2.4569,-1.3555,2.837
3.656724,0.7307,-2.2691,-0.3253,2.406
3.663149,0.8296,-1.7063,0.6587,2.008
3.670886,0.4861,-0.8542,1.0522,1.440
3.679154,0.1502,-0.0739,1.1048,1.117
3.686889,0.1913,0.2740,0.6660,0.745
3.702098,0.3781,0.2953,-0.2120,0.524
3.702818,0.6119,0.2581,-0.9856,1.189
3.714102,0.8712,0.0544,-1.8002,2.001
3.718747,1.1767,-0.4497,-2.4562,2.760
3.727322,1.3828,-0.7665,-2.6762,3.108
3.735069,1.4608,-0.9703,-2.4175,2.987
3.743364,1.3465,-1.0519,-1.7621,2.454
3.751388,1.2057,-1.1214,-1.0775,1.968
3.759263,1.0412,-1.3894,-0.3376,1.769
3.770339,0.9480,-1.6667,0.3597,1.951
3.775525,0.8513,-1.7949,0.9837,2.217
3.783134,0.6101,-1.6925,1.3941,2.276
3.794109,0.4712,-1.3065,1.4500,2.008
3.799077,0.4712,-0.9288,1.2965,1.663
3.809851,0.3976,-0.5856,1.0593,1.274
3.815837,0.2330,-0.2839,1.0253,1.089
3.824566,0.0486,-0.0695,0.9313,0.935
3.832669,-0.1053,0.0167,0.7961,0.803
3.841138,-0.2319,-0.0665,0.5139,0.568
3.848568,-0.3402,-0.2284,0.1477,0.436
3.856708,-0.4462,-0.2948,-0.0880,0.542
3.866066,-0.3767,-0.2371,-0.2760,0.524
3.874474,-0.1335,-0.1520,-0.3345,0.391
3.882038,-0.0614,0.0108,-0.2388,0.247
3.890330,-0.0562,0.1721,0.0021,0.181
3.895500,-0.1416,0.3086,0.1376,0.366
3.903726,-0.1258,0.3534,0.1715,0.412
3.916678,-0.0832,0.4556,0.0595,0.467
3.922402,0.1205,0.5721,-0.2143,0.623
3.927195,0.2586,0.6358,-0.4491,0.820
3.934740,0.3502,0.6278,-0.7239,1.020
3.942638,0.4875,0.5453,-1.0373,1.269
3.951036,0.6230,0.4937,-1.3841,1.596
3.959000,0.9252,0.4943,-1.6570,1.961
3.967356,1.5366,0.6280,-1.6686,2.354
3.975488,2.2542,0.7562,-1.3263,2.723
3.983688,2.9220,0.8863,-0.5882,3.110
3.994269,3.4475,0.9828,0.6156,3.637
4.006511,3.7547,1.0014,1.6454,4.220
4.007523,4.0928,0.9517,2.5883,4.935
4.015041,4.1475,0.7889,2.5529,4.934
4.023059,3.9543,0.6909,1.1520,4.176
4.031700,3.6572,1.3535,-0.5021,3.932
4.040726,3.3782,2.3397,-1.6700,4.436
4.049507,2.9645,3.2484,-1.7733,4.742
4.057780,2.2477,3.9201,-0.8970,4.607
4.065740,1.7913,4.4506,0.9933,4.899
4.073519,1.7852,4.2968,2.3276,5.203
4.082430,2.4238,3.4343,2.2609,4.773
4.087369,3.0577,2.5556,0.6184,4.033
4.095569,3.6528,2.2812,-1.1349,4.454
4.103107,3.7974,2.3191,-2.0496,4.899
4.117958,3.4252,2.0779,-2.2948,4.617
4.123695,2.3307,1.5020,-1.5265,3.165
4.128059,0.9707,0.7491,-0.2411,1.250
4.134660,-0.1566,0.1931,0.8933,0.927
4.142767,-0.8233,-0.1638,1.5934,1.801
4.151037,-1.0212,-0.2732,1.7860,2.075
4.163355,-1.1264,-0.1738,1.8507,2.174
4.167158,-1.2416,0.1899,1.6941,2.109
4.174755,-1.1900,0.8015,1.3024,1.938
4.184042,-1.2907,1.6370,0.9496,2.291
4.191747,-1.5544,2.3701,0.3405,2.855
4.205369,-1.9127,2.7056,-0.3067,3.328
4.206681,-2.5100,2.5928,-0.5063,3.644
4.214833,-3.1761,2.4230,0.1374,3.997
4.223004,-3.6803,2.5615,0.4842,4.510
4.230417,-4.1933,2.9081,0.7926,5.164
4.239153,-4.4486,3.3164,1.0109,5.640
4.247935,-4.5399,3.7851,0.8138,5.967
4.256546,-4.4044,3.8416,0.4949,5.865
4.263859,-3.6862,3.3156,0.0537,4.958
4.271560,-3.1134,2.2954,-0.4440,3.893
4.280485,-2.7920,1.5479,-0.7922,3.289
4.286984,-2.2552,1.0139,-0.8891,2.628
4.295183,-1.7362,0.4510,-0.7829,1.957
4.303126,-1.5533,0.0808,-0.7077,1.709
4.320527,-1.6958,-0.3344,-0.6399,1.843
4.321556,-2.0208,-0.9440,-0.6154,2.314
4.327886,-2.3883,-1.3296,-0.7011,2.822
4.335394,-2.8392,-1.6012,-0.6010,3.315
