time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.705157,0.0175,-0.0114,0.0712,0.074
1.713497,0.0032,0.0054,0.0927,0.093
1.720858,0.0008,-0.0091,0.0736,0.074
1.729106,0.0176,0.0029,0.0736,0.076
1.737476,0.0247,0.0030,0.0688,0.073
1.744929,0.0152,0.0077,0.0664,0.069
1.752691,0.0152,-0.0041,0.0784,0.080
1.761337,0.0224,-0.0089,0.0784,0.082
1.768730,0.0177,-0.0232,0.0640,0.070
1.776597,0.0128,0.0008,0.0688,0.070
1.784656,0.0104,-0.0016,0.0784,0.079
1.792456,0.0079,-0.0017,0.0568,0.057
1.800396,0.0056,-0.0042,0.0616,0.062
1.809027,0.0248,-0.0162,0.0664,0.073
1.816498,0.0175,-0.0065,0.0999,0.102
1.825269,0.0031,-0.0112,0.0736,0.074
1.833763,0.0079,-0.0016,0.0808,0.081
1.840546,-0.0016,-0.0040,0.0880,0.088
1.848452,0.0104,-0.0207,0.0736,0.077
1.856961,0.0103,-0.0040,0.0736,0.074
1.864830,0.0150,-0.0016,0.0496,0.052
1.873938,0.0030,-0.0160,0.0760,0.078
1.882001,0.0175,-0.0159,0.0832,0.086
1.888643,-0.0042,-0.0015,0.0449,0.045
1.897116,0.0149,-0.0087,0.0784,0.080
1.904299,-0.0235,-0.0088,0.0784,0.082
1.912644,0.0124,-0.0255,0.0592,0.066
1.920686,0.0028,-0.0184,0.0664,0.069
1.928801,-0.0021,-0.0064,0.0664,0.067
1.937353,0.0099,-0.0064,0.0736,0.075
1.945630,-0.0044,-0.0185,0.0880,0.090
1.953407,0.0029,-0.0136,0.0640,0.066
1.961281,0.0005,-0.0303,0.0688,0.075
1.969290,-0.0018,-0.0136,0.0832,0.084
1.977282,-0.0066,-0.0086,0.0640,0.065
1.985376,0.0151,-0.0016,0.0760,0.077
1.992885,0.0128,-0.0039,0.0808,0.082
2.001059,0.0031,-0.0062,0.0640,0.064
2.011949,0.0104,-0.0134,0.0544,0.057
2.017924,0.0248,-0.0038,0.0832,0.087
2.024907,0.0128,-0.0037,0.0712,0.072
2.033962,0.0055,-0.0158,0.0712,0.073
2.042155,0.0008,-0.0085,0.0449,0.046
2.050542,0.0032,-0.0300,0.0903,0.095
2.058165,0.0152,0.0013,0.0760,0.077
2.066662,-0.0087,-0.0084,0.0640,0.065
2.074977,0.0033,-0.0132,0.0712,0.072
2.083335,0.0128,-0.0012,0.0808,0.082
2.091547,0.0151,-0.0181,0.0784,0.082
2.100653,0.0032,-0.0062,0.0808,0.081
2.104770,0.0008,-0.0039,0.0688,0.069
2.119831,0.0033,-0.0111,0.0544,0.056
2.125699,0.0175,-0.0039,0.0856,0.087
2.128793,0.0153,-0.0064,0.0760,0.078
2.136579,0.0105,0.0031,0.0880,0.089
2.144741,0.0128,-0.0137,0.0808,0.083
2.157512,0.0152,-0.0162,0.0664,0.070
2.161984,0.0057,-0.0018,0.0688,0.069
2.169262,0.0033,-0.0211,0.0640,0.067
2.177619,0.0154,-0.0307,0.0616,0.071
2.184789,0.0177,0.0004,0.0784,0.080
2.192731,0.0010,-0.0116,0.0664,0.067
2.200673,0.0010,-0.0023,0.0688,0.069
2.208503,0.0010,0.0025,0.0880,0.088
2.216250,-0.0133,0.0097,0.0760,0.078
2.224377,0.0059,-0.0047,0.0592,0.060
2.233583,-0.0035,-0.0168,0.0856,0.087
2.241995,0.0083,-0.0384,0.0592,0.071
2.249459,-0.0109,-0.0167,0.0640,0.067
2.256419,0.0032,-0.0120,0.0664,0.068
2.264700,0.0033,0.0025,0.0760,0.076
2.273285,0.0104,-0.0143,0.0640,0.066
2.281744,0.0082,-0.0166,0.0736,0.076
2.289677,0.0274,-0.0168,0.0664,0.074
2.296338,0.0083,-0.0147,0.0640,0.066
2.304401,0.0226,-0.0027,0.0760,0.079
2.312618,0.0154,-0.0218,0.0736,0.078
2.320369,0.0129,-0.0051,0.0688,0.070
2.328783,0.0128,-0.0219,0.0664,0.071
2.336516,0.0057,-0.0098,0.0592,0.060
2.344686,0.0152,-0.0242,0.0425,0.051
2.352710,0.0104,-0.0361,0.0760,0.085
2.361081,0.0127,-0.0002,0.0568,0.058
2.369202,0.0006,0.0024,0.0736,0.074
2.376954,0.0149,-0.0192,0.0736,0.078
2.384781,0.0126,-0.0168,0.0736,0.077
2.392874,0.0054,-0.0240,0.0688,0.073
2.402189,-0.0016,0.0046,0.0688,0.069
2.411399,-0.0016,-0.0217,0.0856,0.088
2.416747,0.0153,-0.0146,0.0760,0.079
2.424829,0.0035,-0.0003,0.0856,0.086
2.433038,0.0012,-0.0148,0.0808,0.082
2.441270,0.0180,0.0018,0.0712,0.073
2.449551,0.0060,-0.0126,0.0616,0.063
2.458139,0.0035,-0.0032,0.0880,0.088
2.467234,0.0035,-0.0079,0.0712,0.072
2.474802,0.0060,-0.0151,0.0688,0.071
2.483693,0.0083,-0.0127,0.0832,0.085
2.491902,0.0179,-0.0057,0.0784,0.081
2.500650,0.0012,-0.0177,0.0784,0.080
2.505698,0.0037,-0.0058,0.0999,0.100
2.513026,0.0157,-0.0154,0.0688,0.072
2.521648,0.0133,-0.0107,0.0592,0.062
2.529049,0.0037,-0.0204,0.0856,0.088
2.536681,0.0061,-0.0133,0.0616,0.063
2.544867,0.0181,-0.0158,0.0616,0.066
2.553314,0.0085,-0.0038,0.0664,0.067
2.561416,0.0062,-0.0015,0.0736,0.074
2.569470,0.0133,-0.0015,0.0568,0.058
2.577275,0.0038,0.0033,0.0640,0.064
2.585398,0.0133,-0.0159,0.0688,0.072
2.592825,0.0085,-0.0232,0.0832,0.087
2.601607,0.0229,-0.0160,0.0712,0.077
2.611551,0.0037,0.0080,0.0640,0.065
2.619062,0.0038,-0.0065,0.0640,0.064
2.625052,0.0086,0.0031,0.0904,0.091
2.636081,-0.0058,-0.0041,0.0592,0.060
2.644883,0.0041,-0.0137,0.0568,0.059
